COUNTRY,GDP_US_BN
United States,19390.604
China,12237.70048
Japan,4872.136946
Germany,3677.43913
United Kingdom,2622.43396
India,2600.818244
France,2582.501307
Brazil,2055.505502
Italy,1934.797937
Canada,1653.042795
Russian Federation,1577.524146
"Korea, Rep.",1530.750923
Australia,1323.421072
Spain,1311.320016
Mexico,1150.887823
Indonesia,1015.539018
Turkey,851.5492996
Netherlands,826.2002825
Saudi Arabia,686.7384
Switzerland,678.8873368
Argentina,637.4303315
Sweden,538.0404582
Poland,526.465839
Belgium,492.681283
Thailand,455.302683
"Iran, Islamic Rep.",454.0127687
Austria,416.5956664
Norway,398.8319565
United Arab Emirates,382.5750851
Nigeria,375.7454865
Israel,350.8505378
South Africa,348.871648
"Hong Kong SAR, China",341.4493405
Ireland,333.7307648
Denmark,324.8719688
Singapore,323.9072344
Malaysia,314.7102595
Colombia,314.4576019
Philippines,313.5952087
Pakistan,304.9518185
Chile,277.0759444
Finland,251.884888
Bangladesh,249.7238625
"Egypt, Arab Rep.",235.3691293
Vietnam,223.7798658
Portugal,217.571083
Czech Republic,215.7255344
Romania,211.8839235
Peru,211.3892722
New Zealand,205.8528383
Greece,200.2882771
Iraq,192.0608108
Algeria,167.5552801
Qatar,166.9285714
Kazakhstan,162.8868678
Hungary,139.1350298
Angola,122.1238223
Kuwait,120.1262776
Sudan,117.4878571
Ukraine,112.1541851
Morocco,109.7087288
Ecuador,104.295862
Cuba,96.851
Slovak Republic,95.76903198
Sri Lanka,87.35720592
Ethiopia,80.56149613
Kenya,79.26307575
Dominican Republic,75.93165681
Guatemala,75.62009554
Oman,72.6426528
Myanmar,67.06874552
Luxembourg,62.40446127
Panama,62.28375658
Ghana,58.99677624
Bulgaria,58.22097378
Costa Rica,57.28598445
Uruguay,56.15697216
Croatia,55.21308727
Belarus,54.45646547
Lebanon,53.57698569
Tanzania,52.090321
"Macao SAR, China",50.3612011
Uzbekistan,49.67717271
Slovenia,48.76965548
Lithuania,47.16830374
Serbia,41.4316488
Azerbaijan,40.74779224
Jordan,40.06830845
Tunisia,39.95209556
Paraguay,39.66740082
Libya,38.10772808
Turkmenistan,37.92628571
"Congo, Dem. Rep.",37.64248256
Bolivia,37.50864211
Cote d'Ivoire,37.35327606
Bahrain,35.30712766
Cameroon,34.92278231
"Yemen, Rep.",31.26767522
Latvia,30.26445464
Uganda,25.99503185
Estonia,25.92107961
Zambia,25.86814207
Nepal,24.88026691
El Salvador,24.8054396
Iceland,23.90928998
Honduras,22.9785329
Cambodia,22.1582095
Trinidad and Tobago,22.07901763
Cyprus,22.05422583
Zimbabwe,22.0409023
Senegal,21.07022573
Papua New Guinea,20.5363146
Afghanistan,19.5439769
Bosnia and Herzegovina,18.05485479
Botswana,17.40656582
Lao PDR,16.85308749
Mali,15.33433614
Georgia,15.08133809
Gabon,15.01395098
Jamaica,14.78110782
West Bank and Gaza,14.4981
Nicaragua,13.81426154
Mauritius,13.2664277
Namibia,13.25369801
Albania,13.0385383
Mozambique,12.64550863
Malta,12.51813432
Burkina Faso,12.32286424
Equatorial Guinea,12.29357917
"Bahamas, The",12.1621
Brunei Darussalam,12.128089
Armenia,11.53659064
Madagascar,11.49980381
Mongolia,11.43363588
"Macedonia, FYR",11.27950901
Guinea,10.47251451
Chad,9.871247732
Benin,9.246696924
Rwanda,9.135454442
"Congo, Rep.",8.7013348
Haiti,8.408150518
Moldova,8.128493432
Niger,8.119710126
Kyrgyz Republic,7.564738836
Kosovo,7.244888738
Tajikistan,7.146449583
Somalia,7.052
Malawi,6.303292264
Guam,5.859
Fiji,5.061202767
Mauritania,5.024708656
Maldives,4.865546027
Montenegro,4.844592067
Togo,4.757776485
Barbados,4.6735
Eswatini,4.433664364
Sierra Leone,3.775047334
Guyana,3.621046005
Liberia,3.285455
Burundi,3.172416146
Andorra,3.012914131
Suriname,2.995827901
Timor-Leste,2.954621
Aruba,2.700558659
Lesotho,2.578265358
Bhutan,2.528007911
Central African Republic,1.949411659
Belize,1.8626148
Djibouti,1.844674435
Cabo Verde,1.772706451
St. Lucia,1.737504296
San Marino,1.632860041
Antigua and Barbuda,1.510084751
Seychelles,1.497959569
"Gambia, The",1.489464788
Guinea-Bissau,1.346841897
Solomon Islands,1.303453622
Grenada,1.126882296
Comoros,1.06812433
